actionlog.1	{0} reason: {1}
component_appearance.3	가슴을 적시는 이 느낌!|그 언제나 상쾌한 맛!|난 느껴요 코카-콜라!
component_appearance.4	천사가 내려준 눈처럼 감미롭고 시원하다! | 천사와 달콤한 사랑에 빠진다.
component_appearance.5	각종 파라메터를 변경합니다.\nmodify는 set과 달리 현재값에 상대적인 값으로 변경하는 함수입니다.\n(하지만 일부 함수는 set과 동일한 동작을 합니다.)
component_appearance.6	modify(파라메터, 수치)\n\n파라메터 목록 (대소문자 구분합니다):\n   str - 체력\n   dex - 솜씨\n   int - 지력\n   will - 의지\n   luck - 행운\n   life - 생명력\n   mana - 마나\n   stamina - 스태미너\n   strbyfood - 음식에 의한 체력\n   dexbyfood - 음식에 의한 솜씨\n   intbyfood - 음식에 의한 지력\n   willbyfood - 음식에 의한 의지\n   luckbyfood - 음식에 의한 행운\n   lifebyfood - 음식에 의한 생명력\n   manabyfood - 음식에 의한 마나\n   food - 음식\n   ap - AP\n   exp - 경험치\n   def - 방어력\n   protect - 보호\n   level - 레벨 (단순히 레벨값만 변경)\n   Level - 레벨 (값을 올리면 레벨업 핸들러를 호출해줌)\n   age - 나이 (단순히 나이값만 변경)\n   Age - 나이 (나이에 따른 체형변화도 발생함)\n   poison - 중독\n   poisonimmune - 독저항\n   exploexp - 탐험경험치\n   explolevel - 탐험레벨 (단순히 레벨값만 변경)\n   Explolevel - 탐험레벨 (값을 올리면 레벨업 핸들러를 호출해줌)\n   untouchable - 수치에 true/false를 설정하며 언터쳐블NPC 상태를 변경함\n
component_appearance.7	각종 파라메터를 변경합니다.\nset는 modify와 달리 현재값과 상관없이 절대값으로 변경하는 함수입니다.\n(하지만 일부 함수는 modify와 동일한 동작을 합니다.)
component_appearance.8	modify의 도움말을 참조
component_appearance.9	얼굴을 변경합니다.
component_appearance.10	setface(타입:인덱스,타입:인덱스,...)\n\n   타입 - 설명\n   et - 눈모양\n   ec - 눈색상\n   mt - 입모양\n   sc - 피부색\n   ft - 얼굴모양\n   c1 - 기타색1\n   c2 - 기타색2\n   c3 - 기타색3\n\n
component_appearance.11	料理を分け合って食べ、能力値ボーナスが {0}%, 持続時間が {1}分増加した。
component_appearance.12	{0} 番コンディションが {1}秒間追加された。メタ:{2}
component_auction.1	Banks are no longer usable.
component_auction.2	Insufficient bank balances.
component_auction.3	Auction cannot be listed lower than basic bid price.
component_auction.4	You must bid at least 5% higher.
component_auction.5	You've already been outbid.
component_auction.6	These are not on auction.
component_auction.7	The auction has ended.
component_auction.8	A problem occured.
component_auction.9	You cannot keep the auctioned item.
component_auction.10	There is no auction right now.
component_auction.11	Bid amount cannot exceed the limit set by the bank account.
component_auction.12	You cannot bid.
component_auction.13	You cannot bid.
component_auction.14	Please try again later.
component_bank.1	Certain items cannot be placed in the bank.
component_bank.2	봉인 해제 중인 아이템은 보관할 수 없습니다.
component_bank.3	銀行の最大保有額以上を預けることはできません。\n最大保有額は{0}万ゴールドです。
component_bankctx.1	アイテムを整理しないと保管できません。
component_bankservice.1	{0} : 銀行アカウント情報を読み込まない状態でロック状態を確認しました。
component_bankservice.2	{0} : 銀行アカウント情報を読み込まない状態で遮断状態を確認しました。
component_bankservice.3	{0} : 銀行アカウント情報を読み込まない状態でパスワードをチェックしました。
component_bankservice.4	{0} :Cannot withdraw coins.
component_bankservice.5	{0} :Cannot withdraw coins.
component_bankservice.6	{0} :Cannot withdraw coins.
component_bankservice.7	{0} :Cannot withdraw coins.
component_bankservice.8	{0} :Cannot withdraw coins.
component_bankservice.9	{0} :Cannot withdraw coins.
component_brionacsword.1	Brionac is not equipped.
component_brionacsword.2	Brionac is not activated.
component_brionacsword.3	You cannot use Brionac's skill training.\nPlease wait another {0} second(s).
component_brionacsword.4	You cannot use Brionac's skill training.\nPlease wait another {0} minute(s).
component_brionacsword.5	You cannot use Brionac's skill training.\nPlease wait another {0} hour(s) and {1} minutes.
component_brionacsword.6	Cannot use skill training.
component_brionacsword.7	Brionac is not equipped.
component_brionacsword.8	Brionac's durability is low.
component_brionacsword.9	Cannot use.
component_brionacsword.10	Cannot use.
component_brionacsword.11	Brionac's durability is low.
component_brionacsword.12	Skill practice failed.
component_brionacsword.13	Skill practice failed.
component_brionacsword.14	Skill practice failed.
component_brionacsword.15	Skill practice failed.
component_brionacsword.16	Skill training cooldown has been reset.
component_brionacsword.17	Skill training has been put on cooldown.
component_campingchecker.1	(Experience +{0}%)
component_cashitem.1	Please organize your inventory.
component_cashitem.2	Please organize your inventory.
component_combat.1	The dragon's wings are crippled.
component_combat.2	The dragon's neck is injured.
component_combat.3	The dragon's belly sustained heavy injuries.
component_combat.4	The dragon's mouth is weakened.
component_combat.5	The dragon's tail is wounded.
component_combat.6	Dragon's tail cannot be used.
component_combat.7	Dragon's tail cannot be used.
component_combat.8	The dragon's legs seem to be wounded.
component_combat.9	The Dragon's mobility is limited.
component_combat.10	The dragon's leg sustained injury.
component_combat.11	Damage on wings = {0}
component_combat.12	Cumulative damage on wings
component_combat.13	Neck damage = {0}，cumulative damage = {1}
component_combat.14	Cumulative damage on neck 
component_combat.15	Belly damage = {0} (1.5x multiplier)
component_combat.16	Belly damage = {0}
component_combat.17	Head damage = {0} (3x multiplier)
component_combat.18	Head damage = {0}
component_combat.19	Tail damage = {0}，total damage = {1}
component_combat.20	Leg damage = {0}，total damage = {1}
component_combocard.1	Extra +{0}%
component_condition.1	There are explosives wrapped around the monsters!
component_condition.2	The explosives on the monster look like they're about to blow!
component_condition.3	You are receiving increased combat experience.
component_condition.4	You are petrified.
component_condition.5	Combat experience gain returned to normal.
component_condition.6	You have recovered from petrification.
component_condition.7	Speed potion effect has worn off
component_condition.8	相手が突進可能な距離から外れました。
component_condition.9	桜が舞い始まる。
component_condition.10	桜が消える。
component_condition.11	나의 힘이 약해져서 적들이 좀 더 강해 보이기 시작한다.
component_condition.12	Life Skill training potion is in effect.
component_condition.13	Combat Skill training potion is in effect.
component_condition.14	Magic Skill training potion is in effect.
component_condition.15	Alchemy Skill training potion is in effect.
component_condition.16	Life Skill training potion effect has worn off.
component_condition.17	Combat Skill training potion effect has worn off.
component_condition.18	Magic Skill training potion effect has worn off.
component_condition.19	Alchemy Skill training potion effect has worn off.
component_condition.20	You are no longer receiving combat experience rewards.
component_condition.21	물리 공격력이 증가한 것 같다.
component_condition.22	전보다 마법을 좀 더 빨리 시전할 수 있을 것 같다.
component_condition.23	물리 공격력이 원래대로 돌아온 것 같다.
component_condition.24	마법을 시전하는 속도가 원래대로 돌아온 것 같다.
component_demigod.1	Awakening of Light ends in 10 seconds.
component_donation.1	强制设置目前捐赠次数。 \nPM Purin for translation
component_donation.2	Display donations
component_donation.3	Donate money
component_donation.4	View my donations
component_donation.5	Donation ranking information
component_donation.6	Display donation window
component_donation.7	Display donation rankings
component_donation.8	Day countが意図どおりに動作するのかテストするための命令。
component_donation.9	Clear donation records
component_donation.10	Donation failed
component_enchantentrust.1	Cannot entrust enchant.
component_entrust.1	Combine magic
component_entrust.2	Could not entrust with {0}.
component_entrust.3	Could not entrust with {0}.
component_entrust.4	You are too far.
component_entrust.5	You are not in the party.
component_entrust.6	Item does not exist.
component_entrust.7	{0} could not be found.
component_entrust.8	Entrust cancelled.
component_entrust.9	Entrust cancelled.
component_event.1	制限時間を経過しました。
component_event.2	スキーイベント\n逃した旗門 : {0}
component_event.3	ゴールライン通過成功！\n\n到着時間   : {0}\n逃した旗門 : {1}      \n最終時間   : {2}
component_event.4	スキーイベント\n逃した旗門 : {0}
component_event.5	かかし再配置時間が {0}秒に変更されました。
component_event.6	かかし最小良い子時間が {0}秒に変更されました。
component_event.7	かかし最大良い子時間が {0}秒に変更されました。
component_event.8	召喚されるゾンビの数が {0}匹に変更されました。
component_event.9	パーティーメンバーがログアウトしたため、ゲームが中断されました。
component_event.10	パーティーメンバーが脱退したため、ゲームが中断されました。
component_event.11	일반 좀비 소환 간격이 {0}ms로 조정
component_event.12	문이 뚫렸을 때 좀비 소환 간격이 {0}ms로 조정
component_event.13	보스 출현시 일반 좀비 소환 간격이 {0}ms로 조정
component_event.14	게이트 당 일반 좀비 최대 수가 {0}마리로 조정
component_event.15	문이 뚫렸을 때 특수 좀비 최대 수가 {0}마리로 조정
component_event.16	보스 출현시 특수 좀비 최대 수가 {0}마리로 조정
component_event.17	킬 포인트가 {0}점으로 조정
component_event.18	클리어 포인트가 {0}점으로 조정
component_event.19	깃발 공격시 데미지가 {0}점으로 조정
component_event.20	좀비 이벤트\n점수 : {0}점
component_event.21	フクロウをお願いイベントでフクロウスタンプブックを一度にすべて押します。
component_event.22	パラメーターなくそのまま実行
component_event.23	フクロウをお願いイベントでフクロウスタンプブックをすぐにもらいます。
component_event.24	パラメーターなくそのまま実行
component_event.25	소환 간격 {0}ms로 조정
component_event.26	소환 최대개수 {0}로 조정
component_event.27	러너좀비 속도 조정 {0}로 조정
component_event.28	좀비왕 속도 조정 {0}로 조정
component_event.29	러너좀비 속도 variation 조정 {0}로 조정
component_event.30	좀비왕 속도 variation 조정 {0}로 조정
component_event.31	좀비 스케일 {0}로 조정
component_event.32	좀비 출현 비율 {0}로 조정
component_event.33	쿠폰이 존재하지 않습니다.
component_event.34	쿠폰이 존재하지 않습니다.
component_event.35	응모 가능한 기간이 아닙니다.
component_event.36	월드컵 이벤트에 [ {0} ] 쿠폰을 응모하셨습니다.
component_event.37	정상적으로 응모하였습니다.
component_event.38	응모에 실패했습니다.\n잠시 후 다시 시도해주세요.
component_event.39	응모에 실패했습니다.\n잠시 후 다시 시도해주세요.
component_event_newyear2009.1	{0} お月見イベント対象者をDBに入れることができませんでした。  {1}, {2}
component_event_takecareofmyowl2009_korea.1	フクロウをお願い({0}) イベント中ではありません。
component_event_takecareofmyowl2009_korea.2	すでにフクロウスタンプブックを持っています。
component_event_takecareoftiger.1	아기 호랑이를 부탁해 이벤트 중이 아닙니다
component_event_takecareoftiger.2	이미 아기 호랑이 스탬프 북을 갖고 있습니다.
component_event_waterballoonbattle.1	Refresh in 10 Seconds.
component_exploration.1	Nothing was found.
component_exploration.2	There's definitely something here, but this tool is not enough.
component_exploration.3	Remains were found within a 500m radius.
component_family.1	{0} has left the family.
component_family.2	{0} family has been dissolved.
component_family.3	A family custom has been established.
component_family.4	A family custom has been removed.
component_family.5	Father: You punk! I'm going to have to teach you a lesson!|Father: I can't stay mad at you for being young and stupid, but don't do it again.|Father: I won't tell your mother. Next time I will, however.|Father: You have to be a good role model for your younger siblings, you know.|Father: Families have strict rules to follow.|Father: I should come to you right now and show you some discipline!
component_family.6	Mother: How careless of you, child.|Mother: Mama is very worried for you.|Mother: What if your father found out about this?|Mother: Mama will always love you.|Mother: I'm very proud of our family for following our customs.
component_family.7	{0} : I always hated this rule, too!|{0} : Our family tradition is very important. It keeps us together.|{0} : We'll be doomed if you keep this up!
component_family.8	{0} : {1}, I'm so sick of you!|{0} : Don't tell Dad! {1}?|{0} : {1}, be careful from now on!|{0} : {1}!|{0} : {1}, you never listen. I'm disappointed.
component_family.9	(Hope nobody saw that...)|(Oops, my hand slipped...)|(At least I wasn't seen.)|(Oh... I forgot.)|(Following traditions is never easy.)
component_family.10	(Oh, that was shameful.)|(I promised myself to be strict...)|(What would I have done if the kids saw? I need to be careful.)|(It's hard to kick a habit. I'll worker harder from now on!)|(I wouldn't have gotten married if it meant this!)
component_family.11	Broken Family Custom
component_family.12	Younger Brother
component_family.13	Older Brother
component_family.14	Younger Sister
component_family.15	Older Brother
component_family.16	Younger Brother
component_family.17	Older Sister
component_family.18	Younger Sister
component_family.19	Older Sister
component_family.20	Older Brother
component_family.21	Younger Brother
component_family.22	Older Sister
component_family.23	Younger Brother
component_family.24	Older Brother
component_family.25	Younger Sister
component_family.26	Older Sister
component_family.27	Younger Sister
component_family.28	{0} has already been summoned.
component_family.29	{0} has rejected your summon.
component_family.30	Father: You punk! I'm going to have to teach you a lesson!|Father: I can't stay mad at you for being young and stupid, but don't do it again.|Father: I won't tell your mother. Next time I will, however.|Father: You have to be a good role model for your younger siblings, you know.|Father: Families have strict rules to follow.|Father: I should come to you right now and show you some discipline!
component_family.31	Unable to summon family members.
component_family.32	Unable to summon family members.
component_farming.1	You have no crops to sell.
component_farming.2	The crops do not belong to you.
component_farming.3	It is too late to sell these crops.
component_farming.4	You do not have enough crops.
component_farming.5	That is not a valid crop.
component_farming.6	That cannot be sold.
component_farming.7	You do not have enough inventory.
component_farming.8	There was a problem. 
component_farming.9	There was a problem.
component_farming.10	You do not have any crops to sell.
component_farming.11	The crops do not belong to you.
component_farming.12	It is too late to sell these crops.
component_farming.13	You do not have enough crops.
component_farming.14	That is not a valid crop.
component_farming.15	That cannot be sold.
component_farming.16	You do not have enough inventory.
component_farming.17	There was a problem.
component_farming.18	There was a problem.
component_farming.19	Invalid request.
component_farming.20	Ripening has started.
component_farming.21	Failed to obtain farm status.
component_farming.22	Wine aging requires {1} {0}.
component_farming.23	Wine aging failed. \nPlease try again later.
component_farming.24	Wine aging failed. \nPlease try again later.
component_farming.25	Failed to age wine. \nPlease try again later.
component_farming.26	Wine has not started aging yet.
component_farming.27	Failed to age wine.
component_farming.28	Invalid request.
component_farming.29	Invalid request.
component_farming.30	Could not process results. \nPlease try again later.
component_farming.31	Wine has not started maturing.
component_farming.32	Abnormal results...
component_farming.33	Invalid request.
component_fashion.1	Unable to participate from the Fashion Contest because you are too far away from the stage.
component_fashion.2	Perfect!
component_fashion.3	Success!
component_fashion.4	10 seconds until performance.\nGet ready!
component_fashion.5	The winner of this week's Fashion Show Contest is {0}! 
component_fashion.6	Strike your pose within the next 10 seconds.
component_fashion.7	The winner of this week's Popular Fashion Show Contest is {0}!
component_fashion.8	Strike your pose within the next 10 seconds.
component_fashion.9	Failure!
component_fashion.10	Unable to get on stage.
component_fashion.11	Unable to get on stage.
component_fashion.12	Unable to get on stage.
component_fashion.13	Unable to get on stage.
component_fashion.14	Unable to get on stage.
component_fashion.15	Unable to get on stage.
component_fashion.16	Unable to get on stage.
component_fashion.17	Strike your pose within the next 15 seconds.
component_fashion.18	Strike your pose within the next 15 seconds.
component_fashion.19	Grand Prize
component_fashion.20	Choice Award
component_fashion.21	ファッションコンテスト進行中は周辺でスキルを使えません。
component_fashioncontest.1	参加申請をしました。
component_fashioncontest.2	参加申請に失敗しました。
component_gamemaster.1	船の上ではユーザーを召喚できないようにしました。すみません。
component_guild.1	Insufficient guild funds.
component_guild.2	Insufficient guild points.
component_guild.3	There are no changes to the guildstone.
component_guild.4	Cannot recruit any more guild members.
component_guild.5	You cannot use this function today.
component_guild.6	You cannot use this function today.
component_guild.7	Guild title instated.
component_guild.8	setguildtitle(title)
component_guild.9	Using guild title.
component_guild.10	useguildtitle(true or false)
component_heartsticker.1	You have received a heart-shaped sticker! The letter can not be returned.
component_heartsticker.2	Converted into heart points.
component_heartsticker.3	Only beginners are able to send heart-shaped stickers.
component_heartsticker.4	There are no usable heart-shaped stickers.
component_heartsticker.5	The heart-shaped sticker is expired.
component_heartsticker.6	You cannot gift this item.
component_heartsticker.7	Failed to send.
component_heartsticker.8	You have sent the heart-shaped sticker.
component_heartsticker.9	You cannot send to other characters on your account.
component_heartsticker.10	Could not find player.\nPlease check if the name entered was correct.
component_house.1	your house's ID is {0}.
component_houseowner.1	Bank transaction failed.
component_houseowner.2	Unable to make transaction.
component_houseowner.3	Transferred {0} gold to your house.
component_houseowner.4	Bank transaction failed.
component_houseowner.5	House has insufficient funds.
component_houseowner.6	Transfer expense of {0} gold.\nTransferred {1} gold to the bank.
component_houseowner.7	Housing deposit failed.
component_houseowner.8	Failed to withdraw gold.
component_inventory2.1	Item cannot be traded.
component_inventory2.2	Item cannot be traded.
component_inventory2.3	You set off some heart fireworks.
component_inventory2.4	Sent cake to {0}.
component_inventory2.5	Sending cake failed.
component_inventory2.6	You are too close to the statue.
component_inventory2.7	코-크 불꽃을 쏘아 올립니다.
component_inventory2.8	Pets cannot build bridges.
component_inventory2.9	You cannot use this on the bridge.
component_inventory2.10	Ice bridge has been built.
component_inventory2.11	This can only be used for ice bridge construction.
component_inventory2.12	You set off some Nao fireworks.
component_inventory2.13	You set off some devCAT fireworks.
component_inventory2.14	You cannot advertise while on board.
component_inventory2.15	A key is needed to open the chest.
component_inventory2.16	A key is needed to open the chest.
component_inventory2.17	아이스 폭죽을 쏘아 올립니다
component_inventory2.18	{0}님에게 월병을 선물하였습니다.
component_inventory2.19	월병을 선물하는데 실패하였습니다.
component_inventory2.20	근처의 동상 또는 초콜릿 과자와 너무 가깝습니다.
component_inventory2.21	3周年記念花火を打ち上げます。
component_inventory2.22	祭り記念花火を打ち上げます。
component_inventory2.23	전장에서는 광고지를 사용할 수 없습니다.
component_inventory2.24	칠석 기념 폭죽을 쏘아 올립니다.
component_inventory2.25	CInventoryBase::RemoveBundleCountItemFilter() 残った個数より消した個数のほうが多い。\n 消さなければならない個数: %d, 残った個数: %d, 今回消した個数: %d
component_inventory2.26	You can only gift chocolates to the opposite gender.
component_inventory2.27	Your inventory is full.
component_inventory2.28	ペット、モンスター、NPCにはプレゼントできません。
component_inventory2.29	5주년 기념 불꽃을 쏘아 올립니다.
component_inventory2.30	You cannot use this item here.
component_inventory2.31	You can only place crystals in the crystal pouch.
component_inventory2.32	You cannot discard this item.
component_inventory2.33	Organize your inventory before discarding this item.
component_inventory2.34	이 장비는 윈리 록벨 헤어일때만 착용 가능합니다.
component_inventory2.35	You do not have space for another combo card.
component_inventory2etc.1	{0} 効果が発動しました。\n
component_inventory2etc.2	{0}의 사용시간이 초과되어 제거되었습니다.
component_inventory2etc.3	{0}의 봉인이 해제되었습니다.
component_inventory2msg.1	Fill the flower pot with water.
component_inventory2msg.2	Filled with water %d times.
component_inventory2msg.3	I cannot water the pot now.
component_inventory2msg.4	Failled with water {0} times today.
component_inventory2msg.5	シャドウストーンの亀裂が始まった。\nしかしまだ早い。\nパルホロンの闇が必要ゆえ…
component_inventory2msg.6	まだその時でないゆえ…\nシャドウストーンは割れなかった。
component_inventory2msg.7	パルホロンの闇がシャドウストーンを覚醒させる。
component_inventory2msg.8	古書の復元に成功しました。
component_inventory2msg.9	{0}{을} 사용하였습니다.
component_inventoryevent.1	精霊の知識欲と実体化エネルギーが増加しました。
component_inventorystript.1	다양한 옵션을 이용하여 아이템을 추가합니다.
component_inventorystript.2	아이템을 추가합니다.
component_inventorystript.3	골드를 추가합니다.
component_inventorystript.4	addmoney [금액]
component_inventorystript.5	addmoney(금액)
component_inventorystript.6	ポケットのアイテムを専用化する。
component_inventorystript.7	ポケットのアイテムの専用状態を一時解除する。
component_joust.1	{0}馬から運送手段が見つかりません。 
component_lostandfound.1	マウスに他のアイテムを取った状態で回収することはできません。
component_macrochecker.1	Macro : {0}\n Increase/Decrease : {1}
component_macrochecker.2	Macro Set Points
component_macrochecker.3	Received Macro Points
component_mailbox.1	There was a problem accessing your mail.
component_monster.1	They escaped.
component_monster.2	They look like they're about to run away.
component_monster.3	They fled.
component_monster.4	The spider will weaken after a counterattack.
component_monster.5	The Crag Cows seem to be confused. Try another wind blast!
component_monster.6	The Crag Cows are confused. They're attacking Glas Ghaibhleann.
component_monster.7	I don't seem to have the strength to break the barrier.
component_party.1	General
component_party.2	Dungeon
component_party.3	Arena
component_party.4	Ensemble
component_party.5	Unable to join.
component_party.6	Party members must be in the same guild.
component_party.7	Already in another party.
component_party.8	You cannot join due to cumulative level restrictions.
component_party.9	You cannot join due to skill level restrictions.
component_party.10	캡쳐 더 플래그의 다름 팀원과는 같은 파티에 있을 수 없는 것 같다.
component_party.11	この募集はすでに掲示板から削除されています。
component_party.12	{0} イベントの異なるチームメンバーとは同じパーティーにいられないようだ。
component_party.13	Cannot form party in the shadow world.
component_party.14	Cannot form party in the shadow world.
component_party.15	You cannot leave party in the shadow world.
component_party.16	You cannot join the party while the game is in progress.
component_party.17	You cannot leave the party while the game is in progress.
component_party.18	You cannot participate in a party.
component_party.19	You cannot join a party while participating.
component_party.20	You cannot create a party while participating.
component_party.21	You cannot create a party here.
component_party.22	You cannot create a party here.
component_party.23	You cannot join a party here.
component_party.24	You cannot join a party here.
component_party.25	You cannot leave the party here.
component_personalshop.2	이벤트용 캐릭터는 아이템을 타인에게 줄 수 없습니다.
component_personalshop.3	有効時間終了時に消えてしまうアイテムは、販売することが出来ません。
component_personalshop.4	허용되지 않는 개인 상점 이름입니다. 다시 입력하세요.
component_personalshop.5	허용되지 않는 개인 상점 이름입니다. 다시 입력하세요.
