ego.1	Soc
ego.56	Here is the grocery store that sells alot of foods! \n This is Caitin's shop.
ego.57	Here is our village chief. \n This was a bit unnatural to me.\n But I am here to help you!
ego.58	Here is the church! \n This is where Meven and Endelyon are.
ego.59	Here is Malcolm's Grocery Store! \n You can buy clothes to wear and instruments to play.
ego.60	Here is Lassar's magic school! \n To learn various magics, you will spend alot of money here.
ego.61	Here is the Inn! \n Nora is outside, and Piaras is inside the Inn. \n Nora likes to tell stories, so it's good to talk to her about them.
ego.62	Please press the "/" key if you need help with something! | Did you get lost? Just press the "/" key to find out your location. | If you want to know where you are now, please press the "/" key!
ego.63	If I do not understand something<hotkey name='EgoWeapon'/>Press the key!|Did you get lost? <hotkey name='EgoWeapon'/>Please press the key!|When I want to know where this is <hotkey name='EgoWeapon'/>Please try pressing the key!
ego.64	<button title='Continue' keyword='@hellene' />
ego.65	<button title='Repair' keyword='@repair' /><button title='Cancel' keyword='@hellene' />
ego.66	The durability of {0} has recovered {1}. I blessed \ n {0}
ego.67	The durability of {0} has recovered {1}. \n Maximum durability of {0} has been reduced by {2}. \n Blessed {0}.
ego.68	Failed to repair {0}.
ego.69	I failed to repair the destroyed item.<br/>Please take a screenshot and submit to the bulletin board to report error.
ego.70	I repaired the spirit weapon without spirit liqueur,<br/>Please take a screenshot and submit to the bulletin board to report error.
ego.71	
ego_eiry.1	(I cannot speak with pets.)
ego_eiry.2	'/>
ego_eiry.3	Master, what can I help you with today?|Master, is there something you don't understand?|Please ask me anything!|Maybe you have a question for me?! Oh... that makes me so happy!|Master, if you are having any problems, I'm happy to help!|Master, please call on me when you need help, I will help you with anything!|Oh, Master, let's do your best today!|What do you need? I'll do my best to help!|Uh oh! Woops!<p/>How are you? Did I give you courage?|Master, I'm fine!
ego_eiry.4	Hello, Master!<br/>Since this is your first time in Erinn,<br/>I will be your spirit weapon guide!<p/>I was a spirit created just for helping beginners such as yourself!<br/>I can only help you for a short time...<br/>but I will support you as much a I can!<p/>If you do not understand something, please ask me for help anytime.<br/>I will answer in the best way I can.<p/>Thank you!
ego_eiry.5	<button title='What should I do now?' keyword='@tips_gamequest'/><button title='What can I do later?' keyword='@tips_another'/><button title ='Where am I?' keyword='@tips_map'/><button title ='Game Tips' keyword='@tips_general'/>
ego_eiry.6	<button title='Option' keyword='@option'/>
ego_eiry.7	<button title ='End Conversation' keyword='@end'/>
ego_eiry.8	Oh, before we go any farther,<br/>Let me explain how to use the mini-map!<p/><image local='true' name='npctalk_minimap_2' width='337' height='342'/>The 'mini-map'<br/>Is a small map, that can show you where you are located at any time.<br/>Press the 'M' key on your keyboard to access it,<br/>You can also find it by clicking the map icon at the bottom of your screen!<p/><image local='true' name='npctalk_minimap_2'  width='337' height='342'/>The white dot on the map shows where you are,<br/>the dots next to that show the direction in which you are facing.<br/>The white cross allows you to zoom in.<p/><image local='true' name='npctalk_minimap_2' width='337' height='342'/>Please open the mini-map so you can see it.<br/>Press 'M' on your keyboard to open it,<br/>or access it by clicking the map icon at the bottom of your screen.<p/>With the mini-map open,<br/>click a location with your mouse to start moving!<p/>The direction of your screen should have changed, right?<br/>The red dot should be showing your location as you move.<br/>There is a way to adjust the direction the screen moves.<p/>Just press the Z key.<br/>When you press the Z key is allows you to switch between automatic viewing and manual viewing.<br/>You can change the distance of your view with your mouse wheel!<p/><image local='true' name='npctalk_minimap_2' width='337' height='342'/>In hte mini-map,<br/>any quest you are working on will show a quest marker<br/>It is displayed as a diamond marker 「QUEST」. <p/>There will be times when you need to see where to go during a quest<br/>By opening up your mini map, you will be able to see it from a different viewpoint.<br/>When you asked me about your current location, I showed you a map,<br/>But, this way you will be able to find your location yourself!<p/>Well, I think I finished explaining about this!<br/>Did you understand everything? Should I explain it agian?<button title='Repeat' keyword='@repeat'/><button title='Continue' keyword='@breakloop'/>
ego_eiry.9	...Master, I'm sorry!...<br/>I don't know where this is...<br/>It is better to not explore places that I'm not familiar with...|I don't know where we are.<br/>There is no record of this place...<br/>Huh. I do get lost, so don't go to places that I'm not familiar with.|Is that okay, Master?<br/>Shouldn't we go home soon?　I heard we should head north...<br/>Master, let's go home soon...
ego_eiry.10	If there's anything else you don't understand, don't hesitate to ask me!|Well then, just call on me when you need me.
ego_eiry.11	Ahh!!!!!! Master, you've obtained a bad injury! Are you okay?<br/>Well, what should I do!</br>
ego_eiry.12	Oh, I know! Use a bandage!<br/>First, use the bandage to close the wound!<br/>...Huh?! You have no bandages?<br/>
ego_eiry.13	Well... I'm sorry that I can't help you.<br/>Since you have no bandages to use first aid, you should use rest for a while then.<br/>
ego_eiry.14	It is a good idea to take a break with your rest skill.<br/>
ego_eiry.15	But if you are in a dungeon you can't treat wounds with the rest skill...<br/>
ego_eiry.16	It is a good idea to take a break with your rest skill.
ego_eiry.17	Well... you can always ask another person to bandage your wounds, or talk to Dilys the healer!<p/>
ego_eiry.18	Ah! Master! Why is half of your health gone?! Ah!|Oh! Your Health is too low Master!
ego_eiry.19	Ah! You are injured so badly, you need to seek treatment for your low health!<br/>
ego_eiry.20	Master... Use some HP Potions!<br/>'Always be prepared' is what I like to say!<br/>Next time, you should buy some from Dilys!<br/>
ego_eiry.21	If you press the H key you can drink HP Potions.|Master, try pressing your H key now for health!|Or press the I key, to open your inventory, and then use a potion. There are some cases where you can't use the H Key to drink potions, at those times just open your inventory with the I key!
ego_eiry.22	It is a good idea to take a break with your rest skill.
ego_eiry.23	Well... you can always ask another person to bandage your wounds, or talk to Dilys the healer!<p/>
ego_eiry.24	Master, why haven't you been eating?|Master, you look like you are on a diet.|Master, if you don't eat something, it is bad for your body.|Master, you will get tired more easily when you are hungry.
ego_eiry.25	やっぱり何か食べた方がカラダに良いですよっ。…あれ？ …食べ物が…ないみたいですね。|食べられそうなモノがひとつもありません…ぅぅ。|ああっ！ 食べ物がありませんよご主人さま…。|食べられそうなモノが全くないみたいです…。
ego_eiry.26	Ｉキーでインベントリを開くか、Ｋキーを押してモリモリ食べてくださいね！|食べないとスタミナ落ちちゃいますよっ。|インベントリを開くか、Ｋキーを押して食事をとってください！|インベントリを開いて、料理を食べてくださいっ！
ego_eiry.27	ご主人さま、マナが足りないみたいですよ？|マナが半分しか残ってませんよ！
ego_eiry.28	あ…イウェカが昇ってますね。イウェカが昇ってる間は、マナがゆっくり増えていきますよ。|今は夜なので、イウェカの力でマナがいっぱいになるんですよ！
ego_eiry.29	マナポーションをお持ちであれば飲むのも手ですよ！|マナポーション…はありませんか？|…マナポーション…うーん。見当たらないですね…。残念です…。
ego_eiry.30	メディテーションスキルを使うのも良いですよ！|メディテーションスキル、使ってみたらどうですか？
ego_eiry.31	ここは…亡くなったヒトを埋める墓地です。<br/>クモさんたちがうじゃうじゃしていて、危ないかも…<p/>……あのー、ご主人さま……。<br/>ほ、他のトコに行きませんか？<p/>……<p/>………<p/>…………<p/>わっ、わたし、幽霊とかオバケとか苦手なんですっ！
ego_eiry.32	ティルコネイルの南の平地です！<br/>ここはオオカミさんたちがイッパイいて…<br/>でも、強くなればへっちゃらですよ！
ego_eiry.33	ここは、羊さんたちが放牧されてる放牧地です！<br/>採集用ナイフを使って、羊から羊毛を採集できちゃいます。<br/>もちろんわたしの宿ってる剣でも刈れますから、<br/>ナイフを買う必要はありません！ 大丈夫です！<p/>あっ。ときどきイジワルなキツネさんやオオカミさんたちが<br/>羊さんを攻撃したりするので<br/>そういうときは、できるだけ羊さんを守ってあげてくださいね。
ego_eiry.34	ヒーラーのディリスさんちと自警団のトレボーさんがいるトコです！<br/>あとは…ここから北の方へ進むと、アルビダンジョンの入口があります。<br/>このあたりには、褐色キツネさんたちがいますが<br/>そんなに強くはないので、心配しなくても大丈夫ですよ！
ego_eiry.35	小麦や大麦が収穫できる農耕地です！<br/>ここで採れる小麦や大麦は、聖堂のアルバイトに使ったり<br/>風車小屋で小麦粉や大麦粉を作るのに使ったりします。<br/>もちろん、収穫するためには鎌が必要になります。<br/>鎌は鍛冶屋のファーガスさんが売ってますよ！
ego_eiry.36	ここはティルコネイルの中心部！<br/>近くには、村長さんち、銀行、<br/>雑貨屋さんや食料品店があります。<p/>南へ行くと聖堂と学校が、<br/>東へ行くと旅館と鍛冶屋さん、<br/>あとは放牧地へもいけますよ！
ego_eiry.37	ここでは、冒険をするトキに必要な武器や防具が売られてます！<br/>他にも、古くなった武器や鎧の修理もしてくれるんですが、<br/>店主のファーガスさんはちょっとコワモテです…。<br/>あっ、でも、イッパイお話すると仲良くなれますよっ！
ego_eiry.38	ここで武器の修理ができます！<br/>
ego_eiry.39	ここが一番最初の村、<br/>ティルコネイルです！<br/>初めてエリンに来たヒトたちの<br/>故郷のような場所なので<br/>村のヒトたちと<br/>イッパイお話すると良いですよ。
ego_eiry.40	アイテムやお金を保管してくれるトコです！<br/>手数料がかかっちゃう場合がありますけど…<br/>でも、荷物がいっぱいで物が持てなくなっちゃったら困っちゃうので<br/>持ち歩く必要がないモノは、銀行に預けておくと良いですよ！<p/>他にも、銀行員さんにお願いすれば、<br/>個人商店を開くための許可証ももらえますよっ。<br/>でも、個人商店用のカバンがないと個人商店は開けないので<br/>後でお金がいっぱい溜まったら…ですね！
ego_eiry.41	村長のダンカンさんちには<br/>変なネコさんが1匹住んでるみたいです。<br/>たまに人間の言葉を話すらしいですよ！
ego_eiry.42	ここは、ライミラク神を祭る聖堂です！<br/>多くのヒトたちの村の安息の場となってますが、<br/>冒険者さんたちには、祝福ポーションをわけてもらえる場所として有名ですっ。<br/>詳しいコトは、外にいるエンデリオンさんにアルバイトについて聞いてみてください。
ego_eiry.43	食べ物の材料や、料理が手に入りますっ。<br/>お腹ペコペコだと、何をやってもうまくいきませんよね？<br/>あっ、あと、いろんなクエストスクロールも売ってるので<br/>機会があったら一度買ってみてくださいね！
ego_eiry.44	ここは旅館です。<br/>ノラさんと、彼女の叔父さんであるピルアスさんがいるトコです。<br/>薪を集めるアルバイトができますよ！
ego_eiry.45	ラサ先生がいる学校の魔法教室です！<br/>授業料を払えば魔法を習えるみたいです。<br/>でも、授業料がかなり高いので、<br/>魔法はあとからゆっくり習っても良いと思いますよ。
ego_eiry.46	ヒーラーのディリスさんが住んでいる家です！<br/>ポーションを買ったり、治療を受けたりできますよっ。
ego_eiry.47	服や帽子、靴、楽器などなど<br/>いろんな雑貨を売ってるお店です！<br/>ここでは紡績スキルを習うコトができるので、<br/>マルコムさんに、スキルについて聞いてみると良いかもしれません。
ego_eiry.48	ここは、ティルコネイルと<br/>ダンバートンっていう街をつなぐ<br/>トゥガルドアイルっていうトコです。<p/>この道に沿ってずーっと南に進むと<br/>ダンバートンっていう街に出ます。<p/>でも、ちょっとでも道から外れると、クマさんやオオカミさんとかの<br/>コワイ動物さんたちがいっぱい出るので、<br/>移動するときは十分気をつけてくださいね？<br/>特に何もなければ、ティルコネイルに戻りましょう、ご主人さま。
ego_eiry.49	ここは、北の大陸の商業の中心地<br/>ダンバートンです。<p/>……<p/>………<p/>……えっと……<p/>…他のヒトたちが<br/>そう話していたのを聞いただけで、<br/>実はわたしもよく知らないんです…。<br/>そろそろティルコネイルに戻りましょう、ご主人さま。
ego_eiry.50	こっ、ここは…！<br/>大きな竜の石像があるガイレフの丘!?<br/>ご主人さまっ！ す、すっごく遠くまで来ちゃいましたよ!?<p/>観光したいキモチはわかりますが…<br/>ティルコネイルへ戻った方が良いと思います…！
ego_eiry.51	ここは、 鉱山の村バンホールです！<br/>この村のダンジョンでは<br/>鉱石が掘れるみたいなんですが、<br/>魔族さんたちも出るらしいので…<p/>そ、そろそろティルコネイルに戻りましょう、ご主人さまっ！
ego_eiry.52	遠い昔、伝説的な戦いが<br/>あったっていうセンマイ平原！<p/>…って、ご主人さまっ！<br/>こんなトコまで来ちゃったんですか!?<br/>ここは、コワイクマさんたちが多いので、<br/>ティルコネイルに戻りましょう、ご主人さま…！
ego_eiry.53	わー…すっごく大きい都市ですね<br/>ご主人さま！<p/>ここはイメンマハっていう街なんですが…<br/>ご主人さま、こんな遠くまで来ちゃって大丈夫ですか？<br/>ティルコネイルに戻りましょうっ。
ego_eiry.54	ダンバートンとイメンマハをつなぐ<br/>抜け道、オスナサイル！<br/>でも、ここも一筋縄じゃいかない猛獣さんたちが守ってる場所なんです。<br/>ご主人さま、ティルコネイルに戻りましょう？ ね？ ね？
ego_eiry.55	ご、ご主人さまっ！<br/>ここ、ケオ島ですよっ!?<br/>コワイゴーレムさんたちがいっぱい出るトコです!!<br/>ご主人さまぁぁっ！ ティルコネイルへ戻りましょうっ!!
ego_eiry.56	アルビダンジョンに来ましたっ。<br/>トレボーさんがくれた通行証を祭壇に供えて<br/>ダンジョンをクリアしてみてください！ レッツゴー！
ego_eiry.57	<p/>ええっ！ ライフポーション、ひとつもないんですか!?<br/>じゃあ、一度ヒーラーさんちに戻って、<br/>ポーションを買ってきましょう、ご主人さま！<br/>
ego_eiry.58	ここはアルビダンジョンですっ。<br/>どうしますか？ ダンジョンに潜りますか？<p/>アルビ初級ダンジョンに行くなら<br/>トレボーさんのトコに戻って、もう一度通行証をもらってきましょう！<br/>ティルコネイルに戻るなら、そこの「出る」って書いてある階段を上がれば<br/>外に出られますよっ。
ego_eiry.59	わーっ！<br/>もうアルビ初級ダンジョンに挑戦するんですね、ご主人さま！<p/>ディフェンススキルをうまく活用すれば、<br/>そんなに難しくはないハズですよっ！<br/>一緒に頑張りましょう！
ego_eiry.60	ここはアルビダンジョンのロビー！<br/>インベントリを開いて、アイテムを選んで<br/>ダンジョンの祭壇にマウスでドラッグして落とすと、<br/>ダンジョンの中に入れますよっ。<p/>
ego_eiry.61	今のご主人さまなら<br/>アルビ初級ダンジョンもクリアできますよっ！<br/>難しいダンジョンではありませんが…<br/>でも気をつけてくださいねっ。
ego_eiry.62	アルビダンジョンの動物さんたちの多くは<br/>何とか戦える相手ですが、<br/>ボスルームの巨大クモさんはかなり強敵みたいです。
ego_eiry.63	あっ。ここはキアダンジョンのロビーです！<br/>
ego_eiry.64	もう…ここまで来たんですね、ご主人さま…。<p/>この任務が終わったら、ご主人さまはきっと<br/>1人前の戦士として認めてもらえるハズです…。<p/>必ず…必ず、成功させましょう。<br/>わたしも…陰ながらお手伝いします…！
ego_eiry.65	ご主人さまっ、キアダンジョンです。<br/>なんだかぞっとするいや～な感じがします…<br/>どうかお気をつけて下さいっ。
ego_eiry.66	あっ…<br/>ここは…シドスネッター…！<p/>ご主人さま…わたし、ここ…嫌いです。<br/>ティルコネイルに戻りましょう？<br/>ここにいるコヨーテさんも、結構強いんです。だから…！
ego_eiry.67	ここは、特別な場所です。<br/>エリンに来たヒトみんなが寄る場所ですが、<br/>転生する前には二度と来るコトのできない場所です。<p/>
ego_eiry.68	ご主人さまっ！ おめでとうございます！<br/>初心者修練所クリアですっ。<p/>今回習ったコトは、きっとエリンでの生活に役立ちますよっ。<br/>あ、もちろんわたしも、ご主人さまの前から去る日までは、<br/>ずっとご主人さまをお助けします！<p/>では、ご主人さま。<br/>そろそろティルコネイルに行きましょうか。<p/>地図の右端にある、ティルコネイルへ行く入口をクリックすると<br/>ティルコネイルへ行くコトができます。<br/>ささ、一緒に行きましょうっ！
ego_eiry.69	ご主人さま、初心者修練所に入ってみますか？<br/>初心者修練所では、エリンの戦士として必要な<br/>基本的なスキルの使用方法を習うコトができますよっ。
ego_eiry.70	…ご主人さま、ここがどこなのかわたしもよくわからなくて…。<br/>わたしが知らない場所へは来ない方が良いですよ。ご主人さま。|うう～ん。ここはどこかしら…<br/>記録もないし…<br/>わたしが知らない場所にはなるべく来ないでくださいね。|あ…あのですねご主人さま…<br/>実をいいますとここがどこなのかぜんぜんわからないんです…。<br/>い…いちどもどりたいかな～なんて思うのですが<br/>ど、どうでしょう？
ego_eiry.71	<listbox page_size = '5' title = 'ゲームTips' cancel = '@breakloop'><button title='うまく戦闘するには？' keyword='@goodfighting' /><button title='空腹、キャンプペナルティとは何ですか？' keyword='@parameters' /><button title='クエストとは？' keyword='@quests' /><button title='他の人との交流' keyword='@communication' /><button title='アイリのアドバイス' keyword='@general' /></listbox>
ego_eiry.72	何が知りたいですか？<br/>この中からひとつ選んで、<br/>マウスでクリックしてください！|知りたいコトありますか？<br/>上のリストからひとつ選んで<br/>マウスでクリックしてください！
ego_eiry.73	<listbox page_size = '7' title = 'うまく戦闘するには？' cancel = '@breakloop'><button title='戦闘の基本' keyword='@howtocombat' /><button title='キャラクターが勝手に攻撃してしまいます' keyword='@autoattack' /><button title='自分の思うように攻撃するには？' keyword='@manualattack' /><button title='戦闘中、行動不能になったら？' keyword='@dead' /><button title='行動不能になった人を蘇らせるには？' keyword='@revive' /><button title='遠征ボーナスとは？' keyword='@wonjeonbonus' /><button title='キャンプペナルティとは？' keyword='@campingpenalty' /></listbox>
ego_eiry.74	戦闘についての質問ですか？<br/>では、お聞きになりたい項目をマウスでクリックしてください！
ego_eiry.75	モンスター
ego_eiry.76	それは、今は自動戦闘モードで設定されてるためです。<br/>自動戦闘モードでは、ご主人さまが操作しなくても、自動的に攻撃してくれます。<br/>初めはみんな、この戦闘モードになってます。<p/>ですが、スキルとかはやっぱり直接使った方が良いので、<br/>慣れたら手動モードに変更するのも良いと思いますよ！<br/>戦闘モードは、Ａキーを押したり、<br/>画面右下の盾のイメージを押せば、切り替えるコトができますっ。
ego_eiry.77	手動戦闘モードに変更してくださいっ。<br/>そうすると、マウスでクリックして攻撃できるようになります。<br/>わざとタイミングをずらしたりして、自分だけの戦法も生み出せたりするので<br/>戦闘に慣れてきたら、一度やってみてください！
ego_eiry.78	ご主人さまのように、ソウルストリームを通って来た訪問者さんは<br/>この世界では、どんな危険な目にあっても死ぬコトはないみたいです。<br/>でも、あんまり大きい打撃を受けると、行動できなくなる場合もあるんです。<br/>こんなトキには、周辺のヒトに助けてもらえば、また自由に動くコトができるようになります。<p/>まわりに助けてくれそうなヒトがいないときは、村で復活を選択するか、<br/>ナオさんに助けを求めるコトもできます。<br/>その条件によって経験値に加わるペナルティが違うので、<br/>状況に合わせて使ってみてくださいっ。
ego_eiry.79	横たわった状態で、頭の上に羽根が浮かんでいるヒトは、<br/>生命力がなくなってしまい、行動できなくなってしまったヒトです。<br/>そのヒトを助けるためには、フェニックスの羽根っていうアイテムが必要になります。<br/>ヒーラーさんちで売ってるので、近くに行ったときは一度寄ってみてください！<p/>あっ！ 行動不能になったヒトを助けると、<br/>そのヒトに経験値が与えられます。<br/>ヒト助けですし、自分にも良いコトがあるので、<br/>いつも何個か持っておくと良いですよっ。
ego_eiry.80	モンスターさんを倒したとき、たまに「遠征ボーナス」っていう言葉が表示されて、<br/>経験値ボーナスをもらえる場合があります。<br/>これは村から遠ければ遠いほどいっぱい出るので<br/>実力があれば、ちょっと遠いトコへ遠征に行くのも良いと思いますっ。
ego_eiry.81	モンスターさんを倒したとき、たまに「キャンプペナルティ」っていう言葉が表示され<br/>経験値が減ってしまうコトがありますよね？<br/>これは、1ヶ所で長時間狩りをする場合に科せられるペナルティです。<p/>いろいろと場所を移しながら、狩りをすると<br/>ペナルティは無くなるので、可能な限り広い様々な地域で<br/>狩りを楽しんでくださいね。<p/>もし、誰かが立てたキャンプがあったら<br/>ちょっと入って出るだけでも<br/>キャンプペナルティがなくなりますよ。
ego_eiry.82	<listbox page_size = '5' title = '各種ステータス関連' cancel = '@breakloop'><button title='スタミナとは？' keyword='@stamina' /><button title='空腹とは？' keyword='@foodgauge' /><button title='経験値とは？' keyword='@exppopint' /><button title='防御とは？' keyword='@defense' /><button title='保護とは？' keyword='@protect' /></listbox>
ego_eiry.83	ご主人さまの能力値に関する質問ですね？<br/>どうぞ、上のリストから選んでくださいっ。
ego_eiry.84	スタミナの数値は、画面下の黄色のバーに表示されてますっ。<br/>ご主人さまの気力を表す数値です。<br/>何か行動をするたびに消耗されて…スキルを使用するともっとイッパイ スタミナが消耗されます。<br/>続けて戦闘するトキには、スタミナが無くならないように気をつけてくださいね！
ego_eiry.85	ヒトはお腹が空くと気力がなくなりますよね？<br/>なのでエリンでも、お腹が空くと次第にスタミナが減ってきます。<br/>黄色のスタミナバーの黒くなってる部分があればあるほど、<br/>それだけお腹が空いてるってコトになります。<p/>お腹が空いていればいるほど、スタミナの回復速度もゆっくりになっちゃいます。<br/>たいしたコトなさそうに見えますが、戦闘中はスタミナが重要！<br/>お腹がいっぱいになれば、スタミナもすぐ回復するので<br/>戦闘する前には、ちゃんと食べるのを忘れないでくださいね！
ego_eiry.86	エリンでいろいろ経験すると、経験値っていうモノがたまります。<br/>そしてある一定の経験値がたまると、レベルがアップします。<br/>レベルがアップすると能力値も成長して、スキルを習うのに必要な<br/>APっていうポイントももらえるので、とっても重要なコトですよ！<p/>普通、経験値はモンスターさんを倒すともらえますが、<br/>それだけしかないワケじゃありません。<br/>村でアルバイトをしたり、村のヒトたちからもらえるクエストを遂行すると<br/>経験値をもらえますっ。<p/>戦いに慣れるまでは、村で経験値をもらえる方法を探した方が良いですよ！
ego_eiry.87	うーん…エリンの服や鎧は、<br/>改造しない限りほとんど似たような防御力なんです。<br/>なので、防御力を高めたい場合は、まずスキルを習うのをお勧めします！<p/>防御を高めてくれるスキルは学校で習えますっ。<br/>まだ行ってなければ、必ず習うようにしてくださいね！
ego_eiry.88	保護度が高いと、相手の攻撃を受けても、大ダメージをあまり受けずに済むんです！<br/>反対に保護度が低いと、大ダメージを受けやすくなっちゃいますっ。<p/>クリティカルな攻撃を受けると、たいしたコトのない武器でも<br/>致命的な怪我につながる場合もあるので、<br/>強い相手と戦うなら、保護度にも気を使った方が良いですよ！
ego_eiry.89	<listbox page_size = '4' title = 'クエストとは？' cancel = '@breakloop'><button title='クエストマーカーとは？' keyword='@questmarker' /><button title='クエストは必ず順番通りするのですか？' keyword='@questplaysequence' /><button title='クエストを放棄するとは？' keyword='@quitquest' /><button title='メインストリームとは？' keyword='@mainstream' /></listbox>
ego_eiry.90	クエスト、重要ですよー！<br/>いつ・どんなときでも、Ｑキーを押してクエストを確認する習慣をつけましょう！<br/>ささ、次の質問を選んでください、ご主人さまっ。
ego_eiry.91	ミニマップを開いたとき、菱形に光るモノが見えますか？<br/>それがクエストマーカーです！<br/>ご主人さまがもらったクエストの関連人物や<br/>場所の位置を表示してくれる、便利な標識です。<p/>道の上では、その方向に白い光の柱が表示されてるので<br/>その方向へ進めば大丈夫ですよっ。
ego_eiry.92	ゼーンゼン！ その必要はありません！<br/>あっ。もちろん「何を先に持ってきてください」とか、<br/>次に何をすれば良いのかわからない場合は、<br/>順番通りこなさないといけないときもありますよっ。<p/>でも、クエスト自体の順序はあまり関係ないので、<br/>時間が指定されてるモノじゃなければ、<br/>その場所に行く機会があったとき、じっくりと解決すれば大丈夫ですよ！<p/>わたしが教えたクエストは、<br/>ご主人さまが何をしたら良いか悩むかな？ と思って<br/>わたしがあらかじめ準備しておいたモノです。
ego_eiry.93	自分には必要ないクエストや、遂行するつもりがないクエストは<br/>「放棄」を押せば、クエストウィンドウで消すコトができちゃいます！<br/>ですが、一度放棄したクエストの中には、再挑戦できないモノもあるので<br/>放棄するときは、よーく考えてから放棄してくださいね。<p/>あと、わたしが用意するクエストは放棄できません。<br/>ごめんなさい、ご主人さま…。<br/>でも、重要なクエストばっかりなので…。<p/>時間制限があるパーティークエストの場合、<br/>時間が過ぎたモノは、そのまま持っててもしょうがないので、<br/>「放棄」で消した方が良いですよっ。
ego_eiry.94	エリンで生活してると、「メインストリーム」と呼ばれる<br/>特定のクエストをもらうときがあります！<br/>平和で楽しいエリンにも、暗く隠された部分があって、<br/>そういう深い話と関連した、難しくてダークな話が展開されるみたいです。<p/>クエストをくれるヒトは、直接メインストリームの物語を語るコトはありませんが、<br/>いろんなヒトの頼みを聞いてるうちに、<br/>あ、これがそれなんだなって気づくかと思いますっ。<p/>でも…わたしはまだ、ご主人さまには薦めたくありません。<br/>メインストリームには、今よりもっともっと強くないと<br/>やり遂げられない試練がいっぱいあるんです…。
ego_eiry.95	<listbox page_size = '5' title = 'コミュニティ' cancel = '@breakloop'><button title='他の人に話しかけるには？' keyword='@howtotalkothers' /><button title='他の人と取引をするには？' keyword='@howtotrade' /><button title='他の人とパーティーを組むには？' keyword='@makeparty' /><button title='他の人と食べ物をシェアするには？' keyword='@eattogether' /><button title='友達をメッセンジャーに登録するには？' keyword='@listingfriends' /></listbox>
ego_eiry.96	エリンに来た他の旅行者さんたちとうまく過ごす方法ですね！<br/>ご質問は何ですか？<br/>アイリがご説明しますよっ！
